Attendance,Extracurricular_Activities,Previous_Scores_1,previous_Score_2,Assignment_Score,Previous_Semester_CGPA,Rating
78,Yes,53,66,31,5.6,6.3
57,No,34,22,9,3.3,2.7
79,Yes,90,68,38,7.5,8.3
84,Yes,99,69,46,8.5,8.9
99,Yes,71,72,36,6.9,8.0
98,No,75,67,33,7.0,7.0
94,No,94,68,39,7.6,8.1
96,No,63,70,34,7.0,6.8
79,Yes,59,68,36,6.7,7.3
86,Yes,57,69,35,6.8,7.6
41,No,36,34,18,4.0,3.8
40,No,30,26,10,2.7,2.6
98,No,88,72,35,8.1,8.2
77,Yes,72,67,32,6.5,7.3
84,No,62,70,31,6.5,6.8
51,Yes,24,39,17,2.8,3.3
98,Yes,73,73,37,7.1,7.5
42,No,43,28,22,3.1,3.4
90,No,61,67,32,6.0,6.1
41,Yes,26,21,15,2.3,2.9
71,No,87,65,35,8.0,7.9
91,Yes,67,70,31,6.6,7.1
82,Yes,75,68,38,6.8,8.0
86,No,56,66,33,5.9,6.0
73,Yes,93,65,34,8.3,8.2
79,Yes,87,64,41,7.5,8.6
85,Yes,88,67,37,8.2,8.7
76,Yes,59,65,28,6.3,6.7
68,Yes,75,64,38,6.5,7.7
98,No,51,67,32,6.4,6.4
80,Yes,66,70,33,6.8,6.8
50,Yes,34,27,19,2.8,4.1
76,No,96,71,42,8.4,8.3
74,No,100,68,42,8.1,7.9
76,No,81,67,34,7.3,7.3
57,Yes,33,42,21,3.4,4.2
82,Yes,72,68,39,6.5,7.0
82,No,51,66,33,5.8,5.7
80,Yes,90,68,34,7.7,8.0
65,Yes,84,70,38,7.3,7.6
80,No,82,67,36,7.5,7.7
67,Yes,90,67,37,7.9,8.1
65,No,96,62,39,8.2,8.3
97,No,69,67,29,7.2,7.0
84,No,71,70,35,7.5,7.2
86,No,99,72,44,9.0,9.0
76,Yes,83,70,41,7.9,8.1
96,No,93,94,50,9.7,9.8
86,No,61,66,30,6.2,6.7
54,Yes,21,39,18,3.4,3.6
75,No,70,68,36,7.3,7.3
98,No,66,71,32,7.1,7.0
93,No,94,69,45,7.8,7.8
94,No,76,67,37,7.1,7.0
67,Yes,98,64,44,8.0,8.9
71,Yes,66,63,34,6.9,6.7
71,Yes,52,66,31,5.5,6.5
71,Yes,57,66,34,6.1,6.5
94,Yes,61,69,30,6.3,7.4
61,Yes,82,64,37,7.2,8.2
63,No,59,62,27,6.4,6.2
71,Yes,69,66,34,6.6,7.4
68,Yes,90,70,39,8.0,8.5
69,Yes,56,67,28,6.4,6.6
92,No,54,68,34,5.8,5.9
83,No,77,67,34,6.8,7.5
60,No,35,31,15,3.1,3.6
77,Yes,96,67,41,8.6,8.6
76,Yes,83,68,36,7.7,7.7
65,No,97,64,42,7.6,8.2
87,Yes,62,64,33,6.8,6.8
88,No,67,66,29,6.5,6.6
89,Yes,92,72,44,7.7,8.8
89,Yes,91,72,40,8.6,8.5
60,Yes,83,66,40,7.1,7.5
98,No,75,72,39,7.5,7.6
55,Yes,30,26,13,3.1,3.5
96,Yes,64,72,34,6.5,7.2
61,Yes,58,60,28,6.3,6.2
97,Yes,53,69,29,5.7,6.8
92,No,89,68,40,7.8,7.9
93,Yes,57,69,30,6.8,6.6
64,Yes,68,62,36,6.5,7.3
90,Yes,99,71,42,8.6,8.9
98,Yes,70,70,35,7.2,8.1
87,Yes,57,68,26,6.5,7.0
55,Yes,44,24,12,3.4,3.6
98,No,90,70,40,7.6,7.9
78,No,64,65,28,6.2,6.1
52,Yes,24,37,13,3.4,3.9
79,No,64,66,36,6.5,6.3
97,No,85,71,43,7.9,7.7
63,Yes,56,62,27,6.3,6.7
80,Yes,71,68,32,7.2,7.5
87,No,76,70,33,7.3,6.9
46,No,31,39,15,3.2,2.9
83,Yes,83,71,37,7.7,7.8
96,Yes,93,70,39,8.1,8.9
98,Yes,59,72,28,6.1,6.5
63,Yes,83,69,38,7.4,7.9
76,No,56,63,27,5.8,6.2
61,No,74,62,32,6.5,6.9
49,No,24,31,14,3.1,2.6
81,Yes,51,70,27,6.4,6.4
96,Yes,54,69,31,6.5,6.7
94,No,92,68,41,8.4,8.4
65,Yes,64,65,33,6.4,7.3
64,No,67,59,31,6.6,6.4
84,No,82,66,32,7.4,7.0
81,No,61,64,30,6.5,6.1
71,No,60,63,26,6.0,6.2
96,No,71,72,31,7.4,6.8
97,Yes,53,67,29,5.9,6.3
76,No,96,94,48,9.9,9.3
96,Yes,97,70,39,8.7,9.2
75,No,72,66,29,7.3,6.8
89,Yes,60,69,28,6.6,6.6
79,Yes,74,64,33,7.2,7.5
65,No,55,63,27,5.9,5.6
97,No,70,71,38,7.4,7.4
78,No,54,65,33,6.2,6.7
89,Yes,85,68,35,7.9,8.4
50,No,23,38,14,3.3,3.3
61,Yes,76,64,34,7.1,7.2
64,Yes,51,66,30,5.8,6.6
80,No,76,68,38,6.8,7.5
88,No,50,67,27,5.7,6.2
73,Yes,96,66,43,8.2,8.6
88,Yes,75,68,35,7.3,7.7
88,No,55,66,31,6.1,5.8
88,No,67,71,39,6.8,6.8
80,Yes,52,71,30,6.2,6.5
97,No,77,68,32,7.2,7.4
80,No,56,64,31,6.3,6.1
78,Yes,74,67,35,6.8,7.1
68,Yes,65,64,31,6.8,7.0
72,Yes,88,68,39,8.0,8.4
62,No,74,62,34,6.8,6.7
85,Yes,92,64,40,8.0,8.4
58,No,36,42,15,3.7,4.0
72,No,98,68,43,8.4,8.2
91,No,63,69,36,6.8,6.9
73,Yes,88,65,41,7.8,8.5
56,Yes,22,43,19,3.6,4.1
67,No,71,65,30,6.3,6.5
91,No,93,71,43,8.4,8.5
65,Yes,57,65,26,5.6,5.9
78,Yes,74,66,31,7.3,7.8
80,No,80,65,36,7.2,7.3
87,Yes,53,65,30,5.4,6.0
46,No,30,40,20,3.1,3.9
92,Yes,66,68,37,6.7,7.6
62,No,83,67,42,7.5,7.8
72,Yes,96,65,41,8.1,8.6
71,No,86,66,42,7.9,8.1
66,Yes,94,63,43,7.4,8.2
72,Yes,53,70,32,6.5,6.5
72,Yes,75,72,41,7.6,8.2
81,No,78,67,34,7.4,7.4
87,Yes,84,67,38,7.7,7.8
75,Yes,56,66,26,6.0,6.8
89,No,83,66,40,7.0,7.8
73,Yes,57,69,29,6.1,6.7
72,Yes,53,62,30,5.3,5.9
82,No,73,66,38,7.0,6.6
61,No,80,64,34,6.8,7.0
43,Yes,25,43,17,3.1,3.9
47,No,27,43,18,3.0,3.7
98,Yes,80,73,43,7.7,8.1
89,Yes,61,68,31,6.0,7.3
64,Yes,58,66,28,6.0,6.9
46,Yes,21,35,12,2.4,3.7
89,Yes,61,72,32,6.9,7.5
84,Yes,85,68,36,8.0,7.9
93,Yes,56,68,33,6.3,6.5
76,Yes,67,69,29,6.8,7.1
69,Yes,89,63,40,7.3,8.4
80,Yes,92,70,40,8.5,8.2
82,Yes,67,66,34,6.8,6.9
82,Yes,60,66,32,6.6,7.0
83,No,98,72,46,8.6,8.2
98,No,88,71,36,8.4,8.1
96,No,90,72,42,8.4,8.3
95,No,61,69,36,6.2,6.4
92,Yes,71,71,39,7.6,7.9
98,No,53,69,32,6.2,5.9
64,No,55,68,33,5.8,6.0
71,Yes,61,61,32,6.1,7.0
41,No,35,42,21,3.9,3.5
94,Yes,100,72,45,8.2,9.4
80,Yes,71,70,35,6.6,7.8
90,Yes,85,73,43,7.9,8.3
66,No,95,67,39,8.0,8.3
70,No,62,65,30,6.0,5.8
89,No,57,68,35,6.5,6.2
67,Yes,62,65,33,6.5,6.8
74,No,94,97,50,10.0,9.7
71,Yes,83,66,36,7.9,8.1
48,Yes,41,29,16,3.6,3.7
88,No,91,70,40,7.8,8.3
75,Yes,62,66,36,6.4,7.3
82,Yes,62,69,31,6.9,7.5
64,Yes,78,62,32,7.3,7.2
92,Yes,90,68,42,8.2,9.1
75,Yes,63,67,35,6.8,7.1
51,Yes,25,31,9,2.4,3.1
89,Yes,74,69,39,7.1,8.0
68,Yes,57,62,29,5.8,6.2
95,Yes,87,75,44,8.2,8.4
85,No,79,65,32,6.7,7.3
77,No,76,63,32,7.0,7.1
67,No,94,66,36,7.6,8.0
98,No,87,71,42,8.1,8.0
90,Yes,57,66,28,5.9,6.7
68,No,71,66,29,6.7,6.5
74,No,66,66,36,6.7,6.8
92,Yes,90,71,37,7.8,8.8
88,Yes,86,68,38,7.6,8.6
91,No,74,71,34,7.1,7.0
78,Yes,91,68,43,8.2,8.7
89,No,71,68,36,7.0,7.1
75,No,90,68,41,7.4,7.5
68,Yes,52,62,25,5.6,6.3
85,Yes,57,65,27,6.5,6.7
99,No,88,71,40,7.5,8.3
42,Yes,43,43,20,4.7,4.7
78,No,84,68,38,7.4,7.8
87,Yes,86,69,43,7.5,8.3
82,No,83,69,34,7.6,7.1
94,Yes,91,71,39,8.3,8.7
90,No,76,71,32,7.1,6.7
62,Yes,95,62,34,7.6,7.7
100,Yes,78,70,39,7.1,7.9
90,No,75,70,39,7.7,8.0
95,Yes,75,73,41,7.6,8.5
86,Yes,96,71,39,8.6,9.1
94,Yes,62,69,33,6.1,7.0
64,Yes,85,66,37,7.8,8.1
74,Yes,62,65,36,6.4,6.8
95,No,55,71,34,5.8,6.0
68,Yes,98,68,44,8.2,8.5
51,Yes,33,28,18,2.6,3.3
92,Yes,84,71,42,7.4,8.5
52,No,21,21,5,1.8,1.7
67,No,92,66,40,8.3,8.2
43,Yes,40,33,22,3.8,3.9
56,No,43,27,17,3.9,3.7
51,No,27,29,11,2.3,2.5
52,Yes,37,20,13,2.4,3.0
77,Yes,71,66,31,6.8,7.5
43,Yes,33,23,16,3.0,3.8
71,Yes,62,62,35,6.1,7.2
80,No,91,65,38,7.8,7.4
81,Yes,53,63,33,5.8,6.4
92,Yes,52,64,32,5.7,6.4
92,Yes,51,65,25,5.6,6.2
83,No,64,68,32,6.8,6.9
91,Yes,73,72,38,7.7,7.9
68,Yes,55,64,28,5.8,6.6
62,No,100,62,40,7.9,8.1
95,Yes,100,69,43,8.4,8.8
63,Yes,76,64,39,6.8,7.9
50,No,26,37,17,3.2,3.0
88,No,96,72,45,8.7,8.1
76,Yes,88,66,38,7.9,8.2
95,No,58,69,29,6.7,6.9
72,No,90,65,41,7.5,7.3
60,Yes,62,64,32,6.8,6.5
72,Yes,72,62,31,6.9,7.2
83,No,77,66,37,6.8,6.8
75,Yes,86,62,38,7.2,8.2
81,Yes,58,66,31,6.0,6.5
95,No,54,70,28,6.2,6.3
96,Yes,93,75,42,8.5,8.6
71,Yes,91,67,35,8.0,8.6
78,Yes,76,66,36,6.9,7.8
82,No,83,71,37,7.7,7.9
98,Yes,86,75,43,7.9,8.6
100,No,74,72,38,7.5,7.5
69,No,63,64,32,6.1,6.2
89,Yes,74,65,31,6.9,7.5
75,No,98,67,41,8.4,8.3
60,No,92,63,33,7.9,7.6
60,Yes,73,62,38,6.9,7.1
55,Yes,31,26,9,2.7,3.2
80,Yes,94,70,43,8.3,8.5
61,Yes,82,63,40,7.6,8.4
87,Yes,70,71,31,6.9,7.4
72,Yes,56,63,30,6.3,6.8
82,Yes,88,71,39,8.0,8.1
72,Yes,66,63,27,6.9,7.1
67,Yes,80,68,33,6.9,7.2
76,Yes,78,65,36,6.9,7.9
69,Yes,85,66,36,7.9,8.6
81,Yes,77,66,31,7.0,7.8
68,No,82,66,36,7.4,7.8
80,Yes,54,65,30,6.1,6.9
66,No,83,66,35,7.7,7.5
53,Yes,32,41,17,3.9,4.4
90,No,70,68,33,6.6,6.9
64,Yes,76,68,34,7.2,7.6
79,No,84,69,35,7.4,7.6
63,Yes,87,64,35,7.4,7.7
84,No,85,67,40,7.3,7.9
41,Yes,42,20,17,3.0,3.3
81,Yes,69,67,33,6.8,7.2
81,Yes,64,64,33,6.0,7.1
97,No,70,66,29,6.5,6.8
56,No,38,38,22,3.5,3.7
83,Yes,60,68,34,6.0,6.6
76,No,75,66,37,6.6,7.2
98,No,94,71,40,8.7,8.2
91,Yes,87,74,36,8.3,8.9
71,No,86,65,35,7.1,7.3
45,Yes,42,33,21,3.6,4.6
47,Yes,27,39,15,3.2,3.9
93,No,88,72,36,7.8,8.2
93,Yes,53,74,31,6.5,6.5
40,No,23,30,11,2.2,2.2
88,No,67,65,30,6.2,6.6
72,No,60,63,34,6.2,6.4
72,Yes,76,66,33,7.1,7.5
72,Yes,59,66,29,6.2,6.7
89,Yes,99,73,46,9.0,9.5
69,No,93,63,34,7.4,7.0
60,Yes,99,68,42,7.9,9.0
60,Yes,29,40,15,3.2,3.5
67,Yes,98,63,36,7.7,8.0
57,Yes,28,30,12,2.6,3.1
70,Yes,75,66,35,7.5,8.2
75,Yes,62,65,27,6.5,7.2
79,Yes,82,66,32,7.6,7.6
62,No,89,65,35,7.2,7.6
99,No,75,70,40,7.3,7.6
89,No,65,70,31,6.4,6.9
73,Yes,75,68,36,6.8,7.4
73,No,53,64,24,5.7,5.6
49,No,38,34,15,3.7,3.4
85,No,73,62,37,6.8,7.1
66,Yes,95,68,41,8.3,9.0
68,No,96,61,42,7.4,8.2
94,Yes,56,69,30,6.0,6.7
70,Yes,100,65,44,8.5,8.4
75,Yes,98,65,36,8.2,8.6
95,No,81,72,42,7.9,7.7
87,Yes,91,70,42,8.2,8.8
74,Yes,51,65,29,5.9,6.5
87,No,99,69,38,8.5,8.1
61,Yes,73,65,32,6.6,7.4
89,Yes,95,69,39,8.3,8.6
79,Yes,69,65,37,6.9,7.9
93,Yes,89,72,36,8.5,9.0
98,Yes,71,70,37,6.6,7.2
97,Yes,68,64,36,6.9,7.1
96,No,97,67,41,8.2,8.2
80,No,85,69,34,7.2,7.7
74,Yes,92,70,38,7.7,8.1
41,Yes,43,32,20,4.2,4.1
88,Yes,96,69,37,8.3,8.4
45,Yes,38,26,15,3.6,3.5
57,Yes,21,36,11,3.0,3.2
97,Yes,88,72,40,8.5,8.3
93,Yes,51,67,24,5.5,6.6
99,Yes,91,75,37,8.8,9.0
95,Yes,67,70,33,6.6,6.9
71,No,80,63,40,7.3,7.6
64,No,87,65,35,8.0,7.6
43,No,32,44,16,4.0,4.2
72,No,84,65,37,7.9,7.9
85,Yes,95,70,37,8.3,8.2
92,No,69,67,30,6.9,7.2
96,Yes,77,67,38,6.9,7.9
85,No,59,68,28,6.8,6.2
60,No,73,65,38,6.5,7.1
67,Yes,58,61,32,6.3,6.4
64,Yes,82,63,32,6.8,7.0
51,Yes,28,39,20,3.7,4.4
80,Yes,93,69,45,8.0,8.5
62,No,67,55,33,6.0,5.7
74,No,64,70,28,6.9,6.4
67,Yes,75,65,34,7.5,8.0
86,Yes,59,68,32,6.2,7.2
79,Yes,60,64,26,5.8,6.9
80,No,89,69,43,7.7,8.2
46,No,20,26,9,2.3,2.3
48,Yes,40,24,13,3.4,3.8
69,No,52,92,35,7.5,7.1
81,No,73,67,33,6.9,6.5
89,Yes,87,70,37,7.9,8.5
82,No,68,68,29,6.5,6.8
97,Yes,62,70,35,6.8,7.4
75,Yes,70,67,32,6.7,6.9
79,Yes,98,69,38,8.7,8.7
64,No,71,67,38,7.2,7.3
84,Yes,63,69,28,6.9,7.5
72,No,78,63,38,7.0,7.3
66,No,91,69,37,7.6,7.5
82,No,51,66,26,6.3,6.4
81,No,78,68,32,7.2,6.9
63,Yes,92,69,35,8.3,7.9
88,Yes,61,66,29,6.7,7.3
85,Yes,96,72,46,8.4,9.4
68,Yes,79,62,31,7.4,7.1
79,No,76,67,34,6.9,6.9
89,No,98,67,46,8.5,9.0
81,Yes,56,67,30,6.4,6.9
76,No,87,65,36,7.4,7.6
73,No,91,67,36,7.5,7.6
84,No,74,66,38,6.8,7.5
98,Yes,50,70,25,5.6,6.0
56,No,30,33,16,3.5,3.5
63,Yes,58,64,30,6.0,6.8
78,Yes,78,69,34,6.9,7.4
96,Yes,87,72,38,7.8,8.1
64,Yes,77,60,35,6.8,7.6
100,Yes,82,71,42,7.7,8.7
98,Yes,55,71,28,5.9,7.0
63,No,55,66,27,5.6,5.3
97,No,93,74,43,8.1,8.2
75,No,52,64,24,5.6,5.6
43,Yes,24,28,11,2.7,3.1
77,No,97,66,40,7.7,7.5
78,No,73,65,32,7.2,7.0
85,Yes,84,64,37,7.3,8.1
91,No,61,65,32,6.2,6.9
61,No,64,69,31,6.2,6.9
84,Yes,75,68,34,7.5,8.1
67,No,82,62,32,7.5,7.2
47,No,23,20,13,2.1,2.3
51,No,38,36,16,4.1,4.2
79,No,55,62,29,5.8,6.2
73,No,68,67,31,7.2,6.5
64,No,62,64,30,6.6,6.2
66,No,63,61,31,5.9,6.1
56,No,26,21,8,2.4,2.6
79,No,66,67,30,7.0,6.7
98,No,64,70,34,6.4,6.6
65,Yes,98,59,37,8.1,8.2
98,No,79,75,34,7.7,7.6
49,Yes,43,35,17,4.3,4.4
46,Yes,27,21,14,2.0,2.8
86,Yes,91,72,43,8.4,8.4
93,Yes,94,76,38,8.3,9.3
44,Yes,21,20,10,2.1,3.0
80,No,72,65,32,7.2,7.2
88,No,88,72,40,7.9,7.7
83,Yes,97,69,44,7.8,8.5
93,No,58,71,30,6.2,6.5
63,No,93,64,35,7.9,7.6
88,Yes,92,74,37,8.0,8.7
81,Yes,68,68,34,7.1,7.5
75,Yes,65,66,36,6.2,7.5
74,No,78,65,37,7.4,6.9
85,Yes,64,67,28,6.7,7.1
51,No,29,38,18,3.5,3.7
80,Yes,98,66,40,7.9,8.8
93,Yes,75,69,31,7.1,7.7
76,Yes,74,67,31,6.8,7.8
58,Yes,43,29,17,3.7,4.6
62,No,75,67,36,7.2,7.5
45,Yes,31,32,12,3.1,3.5
46,Yes,27,29,11,2.7,2.9
73,Yes,68,68,34,7.1,7.3
89,No,59,66,28,6.4,6.2
90,No,68,66,30,6.3,6.9
62,No,93,68,37,7.7,8.1
69,No,62,63,27,5.8,6.4
71,Yes,51,66,25,6.3,6.3
82,Yes,77,66,30,6.7,7.8
50,Yes,21,22,14,1.7,2.6
65,Yes,66,65,29,6.1,6.4
58,Yes,21,39,10,3.4,3.8
92,No,52,71,28,6.0,6.1
67,No,67,66,32,7.1,6.9
76,Yes,57,66,34,6.6,6.5
74,Yes,61,65,34,6.5,6.8
92,No,69,71,38,6.8,7.3
80,No,75,69,37,7.6,7.8
44,Yes,28,39,17,3.5,3.9
90,Yes,55,70,26,6.2,7.2
76,No,84,70,36,7.8,7.8
71,No,70,65,30,6.4,6.2
75,Yes,59,64,27,6.6,6.6
80,Yes,62,68,35,6.9,7.7
48,Yes,29,27,18,2.8,3.5
70,No,53,63,26,5.8,6.2
76,Yes,75,71,32,7.5,7.3
61,No,68,58,34,6.3,6.3
91,Yes,91,68,39,8.1,8.3
67,No,90,65,43,7.6,7.8
62,No,84,65,32,7.0,7.3
86,Yes,69,68,31,6.9,7.3
91,Yes,82,69,37,7.7,7.9
51,Yes,31,44,21,3.7,4.8
80,No,67,65,29,6.6,6.9
60,Yes,34,40,22,4.1,4.5
89,No,99,75,41,8.7,8.7
88,No,66,67,30,6.6,6.8
70,Yes,90,68,39,7.4,8.3
96,No,75,72,32,6.9,6.7
64,No,73,67,31,7.4,6.8
99,No,69,72,30,6.8,6.9
94,Yes,65,69,35,6.5,7.3
88,No,96,68,39,8.0,8.1
98,Yes,87,70,38,7.9,8.3
89,No,72,69,38,6.6,7.3
68,Yes,88,67,42,8.2,8.8
78,No,86,63,38,7.7,7.2
63,No,63,61,34,6.5,6.5
76,Yes,59,66,26,5.8,6.2
90,Yes,92,73,41,8.7,8.7
75,Yes,91,67,43,7.5,8.8
73,Yes,100,72,44,8.2,9.4
84,No,51,69,30,6.0,6.2
95,No,77,69,37,7.1,7.1
62,Yes,85,63,40,7.9,7.8
75,Yes,79,67,31,7.6,8.1
66,No,86,63,34,7.4,7.8
88,Yes,57,66,27,6.0,6.2
64,No,50,62,27,5.3,5.2
87,Yes,55,68,30,5.7,6.8
71,No,69,65,35,7.2,7.3
68,Yes,66,59,29,6.0,6.2
97,Yes,94,72,40,8.3,8.9
61,Yes,54,63,33,6.2,6.7
78,No,72,68,30,6.9,7.2
61,Yes,98,61,38,7.8,7.9
48,No,34,22,10,3.1,2.7
80,Yes,57,68,33,6.7,6.6
41,Yes,22,23,9,2.4,2.4
65,Yes,81,63,38,6.8,7.6
75,Yes,51,67,28,5.7,6.1
87,Yes,98,66,45,7.8,8.9
91,Yes,78,75,34,8.0,8.2
81,No,85,68,36,7.3,7.4
84,No,75,65,39,7.4,7.0
68,No,98,64,36,7.8,7.8
44,Yes,38,36,22,3.3,3.8
66,Yes,83,64,32,7.6,7.5
70,Yes,93,67,35,7.5,8.5
69,Yes,93,63,36,7.9,7.9
81,Yes,51,67,33,6.3,6.3
83,Yes,64,65,35,6.9,7.2
98,Yes,62,70,32,6.3,7.5
68,Yes,50,62,31,6.0,6.5
86,Yes,94,69,39,8.1,9.0
93,Yes,66,70,31,7.3,7.6
82,Yes,67,68,32,6.5,6.8
70,No,55,68,28,6.4,5.8
71,Yes,99,64,44,7.8,8.4
62,Yes,91,63,36,8.1,8.5
72,Yes,79,68,32,7.5,7.6
46,Yes,20,29,10,2.9,2.7
62,No,89,68,41,8.2,8.0
69,Yes,83,66,34,7.6,8.0
88,Yes,59,67,26,6.8,6.5
91,No,86,69,41,7.9,8.0
78,Yes,78,68,36,7.7,7.8
88,No,86,70,37,8.0,7.5
76,No,77,68,31,7.1,7.5
66,Yes,98,66,36,8.0,8.3
54,Yes,33,39,13,3.4,3.7
83,No,79,65,31,7.0,7.4
98,No,92,67,42,7.8,8.3
63,No,69,63,29,6.4,6.1
80,Yes,66,64,31,6.9,6.9
73,Yes,75,64,32,7.4,7.7
80,No,79,66,34,7.4,6.9
61,Yes,61,68,36,6.5,6.7
73,Yes,84,67,39,7.4,8.0
93,No,90,72,40,7.7,8.3
40,Yes,31,33,18,2.7,3.4
53,No,24,33,14,2.6,3.1
71,No,65,66,29,6.2,6.0
72,Yes,95,67,42,8.1,8.1
75,No,88,65,33,7.4,7.6
46,No,30,26,16,2.3,3.1
99,Yes,83,69,39,7.5,8.2
78,Yes,67,69,37,6.4,7.8
76,Yes,53,66,34,5.5,6.6
94,No,60,66,28,6.3,6.6
77,Yes,54,67,26,5.8,6.8
82,Yes,75,67,39,7.5,7.8
69,Yes,81,67,35,7.6,7.5
90,Yes,69,72,38,7.1,7.3
81,Yes,77,68,39,7.7,8.0
92,Yes,54,70,34,5.9,6.9
91,Yes,88,69,34,7.8,7.9
69,Yes,52,65,32,6.3,6.6
89,No,82,72,39,7.7,7.9
92,No,72,69,31,7.3,7.6
74,Yes,59,68,30,6.3,6.5
67,No,76,62,38,6.6,6.9
60,Yes,89,60,40,7.0,7.9
78,Yes,71,67,39,6.5,7.1
74,Yes,68,67,34,6.5,7.5
59,Yes,39,33,20,3.4,4.3
55,Yes,43,26,19,3.7,3.8
94,Yes,91,71,42,7.8,8.6
43,Yes,40,26,16,3.4,4.3
69,Yes,58,65,29,6.4,7.0
79,Yes,83,69,39,7.2,8.5
59,No,41,40,17,3.8,3.6
69,Yes,92,64,38,7.7,7.9
71,No,96,67,40,8.3,8.1
67,Yes,80,62,39,6.9,7.8
89,Yes,94,68,39,8.6,8.7
91,No,54,71,31,6.6,6.3
78,No,61,66,34,6.7,6.5
46,Yes,38,35,17,3.9,4.1
89,Yes,89,71,43,8.4,9.0
66,Yes,74,66,36,6.8,7.0
99,No,67,72,31,7.0,6.8
93,Yes,58,70,28,6.7,7.4
68,No,91,65,43,7.5,8.1
67,No,51,64,33,6.2,6.5
65,Yes,67,63,32,6.6,7.5
66,No,62,63,32,5.8,5.8
90,No,56,66,26,6.2,6.2
79,Yes,59,68,32,6.5,6.7
91,Yes,75,74,40,7.0,7.5
90,No,71,71,35,7.4,7.0
84,Yes,76,67,31,7.4,7.9
87,No,86,66,35,7.2,7.6
61,Yes,95,67,42,8.0,8.9
72,Yes,56,62,32,5.9,6.4
86,No,54,68,35,6.4,6.0
60,Yes,66,62,34,6.3,6.9
61,Yes,77,82,35,8.3,8.6
94,No,55,70,29,6.5,6.6
87,No,86,72,40,7.5,8.0
52,Yes,35,22,11,3.1,3.1
88,No,87,66,38,7.7,8.0
92,Yes,68,68,34,7.0,7.7
72,No,70,64,32,6.9,6.5
61,Yes,90,61,35,7.2,8.1
97,Yes,63,69,28,6.8,7.2
43,No,32,36,17,3.6,3.1
64,No,51,64,27,5.5,5.9
54,No,44,44,26,4.4,5.0
91,Yes,93,67,41,8.3,8.7
69,No,51,65,25,5.8,5.6
71,Yes,81,68,41,7.5,8.1
70,Yes,92,67,37,7.9,8.7
100,No,75,67,36,7.3,7.3
68,Yes,66,64,31,6.0,6.7
83,Yes,100,70,43,8.7,9.2
97,No,53,69,29,6.6,6.2
44,No,34,28,10,3.1,3.3
99,No,94,69,43,7.7,7.8
98,Yes,65,66,29,6.7,7.6
95,Yes,91,73,39,7.9,8.9
69,Yes,67,66,33,6.5,6.8
49,Yes,32,41,21,3.9,4.5
90,Yes,84,70,42,8.1,8.7
99,Yes,73,71,38,7.3,8.0
67,Yes,76,70,40,7.5,8.4
91,Yes,59,69,35,6.1,7.4
74,No,56,63,34,5.6,5.9
67,Yes,86,71,35,8.2,8.1
48,No,41,29,13,3.6,3.5
92,Yes,86,73,35,8.0,8.8
79,Yes,96,68,36,8.2,8.1
82,Yes,95,69,38,7.8,8.3
100,Yes,89,76,41,8.7,8.5
76,Yes,95,68,44,8.4,9.2
85,No,58,65,33,6.5,6.3
75,Yes,87,66,42,8.0,8.8
76,No,88,65,43,7.6,7.8
88,No,58,69,35,6.5,6.9
98,Yes,95,71,41,7.9,8.8
82,Yes,50,66,28,6.1,6.9
91,No,72,69,33,7.4,7.5
56,No,28,40,20,3.2,3.5
68,No,76,65,31,7.0,6.7
80,No,71,72,40,6.9,7.5
61,Yes,81,60,33,7.0,7.8
70,Yes,88,64,38,7.8,7.8
81,No,88,69,43,7.6,7.5
61,Yes,86,70,43,8.0,8.8
71,Yes,55,67,29,5.7,6.9
81,No,71,67,36,7.2,7.3
83,Yes,91,64,40,7.8,7.9
58,Yes,39,35,18,3.8,4.4
86,No,84,72,38,7.9,7.8
77,Yes,61,65,27,6.3,6.9
97,No,66,70,31,6.5,7.0
91,No,98,75,46,9.1,8.7
68,Yes,92,65,35,7.6,8.3
65,Yes,58,63,31,5.9,6.8
87,No,77,71,32,7.1,6.8
82,Yes,75,66,30,7.0,7.9
92,Yes,72,69,32,7.0,7.5
53,No,35,20,13,2.3,2.6
85,No,82,71,33,7.2,7.7
99,Yes,98,77,42,8.7,9.6
81,Yes,94,70,43,7.7,8.1
65,No,94,66,44,7.6,8.4
93,No,85,73,38,7.5,7.7
70,Yes,51,62,32,5.7,5.9
91,No,72,65,30,7.1,6.9
45,Yes,30,34,17,3.5,3.5
88,Yes,92,66,37,8.3,8.2
60,Yes,38,25,13,2.8,3.7
48,Yes,31,39,16,3.5,3.7
75,No,65,63,36,6.0,6.5
74,Yes,67,63,30,6.6,7.4
85,No,79,72,41,7.4,7.9
90,Yes,64,71,37,7.1,7.5
87,Yes,96,72,40,8.8,9.1
68,Yes,71,65,33,6.9,6.9
80,Yes,100,67,45,8.8,9.1
92,Yes,55,68,30,6.4,6.6
79,Yes,59,66,33,6.7,7.0
81,No,76,72,34,7.4,7.6
91,No,93,71,40,8.7,8.3
86,No,68,70,35,7.2,6.7
48,No,31,42,15,3.3,3.4
96,No,71,72,33,7.6,7.4
67,Yes,93,66,43,8.3,8.9
100,No,64,69,34,7.1,7.1
43,Yes,26,40,19,3.1,4.3
61,No,64,62,34,5.9,5.9
96,No,61,69,29,7.0,7.0
46,Yes,29,35,14,3.6,3.9
89,No,67,69,38,6.6,6.7
92,Yes,89,69,38,8.0,8.2
